zip,premium,claim_freq_avg,claim_freq_peak,loss_ratio_peak,claim_severity_avg,nonrenewal
01001,1367.0,0.0568,0.0912,0.808,13323.0,0.0106
01002,1563.0,0.0361,0.0429,0.362,11390.0,0.0107
01005,1509.0,0.0264,0.0312,0.294,13368.0,0.0115
01007,1386.0,0.0381,0.0457,0.388,12726.0,0.0076
01008,1571.0,0.0396,0.0531,0.38,13508.0,0.009
01009,1304.0,0.0261,0.0452,0.791,16771.0,0.0062
01010,1553.0,0.0331,0.0432,0.271,12694.0,0.009
01011,1441.0,0.036,0.0423,1.387,35930.0,0.0174
01012,1438.0,0.029,0.0414,1.731,33442.0,0.007
01013,1411.0,0.0379,0.0433,0.471,14397.0,0.0105
01020,1355.0,0.0386,0.0467,0.602,15340.0,0.0102
01026,1649.0,0.0315,0.0599,2.03,29767.0,0.0046
01027,1339.0,0.0304,0.0339,0.344,12479.0,0.0077
01028,1470.0,0.0462,0.0637,0.604,13744.0,0.0103
01029,1593.0,0.0306,0.0783,0.431,23710.0,0.0038
01030,1355.0,0.0384,0.0438,0.34,11460.0,0.0097
01031,1496.0,0.0327,0.0484,0.539,13145.0,0.0116
01032,1342.0,0.0213,0.0269,1.285,29181.0,0.0033
01033,1352.0,0.0328,0.0444,0.971,21675.0,0.0088
01034,1707.0,0.0338,0.0356,0.952,19513.0,0.0059
01035,1459.0,0.0326,0.0419,0.356,12763.0,0.0069
01036,1623.0,0.0482,0.0762,0.641,13201.0,0.02
01037,1691.0,0.0264,0.032,0.264,8654.0,0.0078
01038,1497.0,0.0342,0.0366,0.524,15638.0,0.0048
01039,1531.0,0.03,0.0456,0.639,12482.0,0.0063
01040,1534.0,0.0398,0.0441,0.376,13545.0,0.0077
01050,1413.0,0.0376,0.0505,0.565,11166.0,0.0087
01053,1517.0,0.0309,0.0453,1.402,39369.0,0.0121
01054,1988.0,0.0244,0.0276,0.307,13870.0,0.0041
01056,1342.0,0.0362,0.0459,0.704,16698.0,0.0088
01057,1430.0,0.0334,0.0452,0.703,18924.0,0.0082
01060,1575.0,0.033,0.0455,0.45,19153.0,0.0116
01062,1354.0,0.0309,0.0371,0.312,11482.0,0.0078
01066,1291.0,0.0439,0.0678,0.98,12579.0,0.0169
01068,1748.0,0.0299,0.0377,0.544,18898.0,0.0202
01069,1335.0,0.0325,0.0417,0.623,16075.0,0.0077
01070,1504.0,0.0379,0.051,2.946,26166.0,0.0197
01071,1432.0,0.0292,0.0397,0.565,14356.0,0.016
01072,1446.0,0.0335,0.0475,0.883,14142.0,0.0084
01073,1414.0,0.0339,0.047,0.453,15756.0,0.0087
01075,1354.0,0.0369,0.0428,0.395,13268.0,0.0085
01077,1496.0,0.0432,0.0502,0.651,17658.0,0.0183
01079,1424.0,0.0246,0.0407,1.381,20990.0,0.0198
01080,1355.0,0.0363,0.0534,0.238,7627.0,0.0153
01081,1443.0,0.0327,0.0522,0.849,16073.0,0.0083
01082,1381.0,0.035,0.0413,0.387,14956.0,0.0089
01083,1508.0,0.0279,0.0317,0.28,10032.0,0.0091
01085,1401.0,0.0373,0.0468,0.477,16129.0,0.013
01088,1423.0,0.0189,0.0431,1.085,50648.0,0.024
01089,1404.0,0.0401,0.0451,0.497,15186.0,0.0104
01092,1465.0,0.019,0.039,1.807,34203.0,0.0219
01093,1634.0,0.0347,0.0738,0.418,15155.0,0.0035
01094,1608.0,0.0561,0.0862,5.792,36419.0,0.0185
01095,1584.0,0.0507,0.0639,1.044,16505.0,0.0107
01096,1498.0,0.0296,0.0381,0.47,12254.0,0.016
01098,1634.0,0.0296,0.0374,1.015,28775.0,0.0028
01104,1580.0,0.0409,0.0484,0.586,17150.0,0.01
01105,2186.0,0.0527,0.0646,1.069,23018.0,0.0154
01106,1807.0,0.0572,0.0698,0.578,15780.0,0.0053
01107,2010.0,0.053,0.0575,1.128,19234.0,0.0084
01108,1991.0,0.0512,0.0628,0.608,21756.0,0.0139
01109,1783.0,0.0483,0.0599,0.469,14416.0,0.0135
01118,1460.0,0.0381,0.0454,0.356,12192.0,0.0069
01119,1438.0,0.0378,0.0486,0.281,9858.0,0.0106
01128,1421.0,0.0326,0.0438,0.678,16118.0,0.0058
01129,1437.0,0.0417,0.0569,0.692,17518.0,0.009
01151,1553.0,0.0419,0.0515,0.577,16900.0,0.0106
01201,1378.0,0.0444,0.0484,0.52,14018.0,0.0092
01220,1279.0,0.0395,0.0554,0.571,15315.0,0.0096
01222,1468.0,0.0267,0.0433,1.553,42211.0,0.0048
01223,1614.0,0.0351,0.0391,0.654,22474.0,0.0092
01225,1361.0,0.0392,0.0512,1.165,17434.0,0.0124
01226,1429.0,0.0358,0.0458,0.27,9336.0,0.0027
01230,2268.0,0.0389,0.0444,0.313,15153.0,0.0088
01235,1474.0,0.0357,0.0397,0.413,12730.0,0.0067
01236,1458.0,0.0353,0.0475,1.872,20586.0,0.0094
01237,1542.0,0.0436,0.0556,0.646,13910.0,0.0067
01238,1485.0,0.0419,0.0507,0.719,16004.0,0.0112
01240,2067.0,0.0498,0.0714,0.39,12081.0,0.0088
01242,1531.0,0.0611,0.11,0.388,4256.0,0.0
01243,1733.0,0.0236,0.0348,0.19,8664.0,0.0
01244,2462.0,0.0345,0.0476,0.216,10072.0,0.0
01245,2481.0,0.0569,0.0797,0.324,13938.0,0.004
01247,1335.0,0.0385,0.0431,0.646,18986.0,0.0087
01253,1605.0,0.041,0.0485,0.877,15647.0,0.0074
01254,2458.0,0.0327,0.0421,0.182,11177.0,0.0102
01255,2012.0,0.0354,0.0426,0.542,21941.0,0.0177
01256,1481.0,0.0232,0.04,0.252,10825.0,0.0172
01257,2070.0,0.0347,0.047,0.497,13027.0,0.0083
01258,2152.0,0.0479,0.056,0.699,22967.0,0.003
01259,2631.0,0.0364,0.0588,2.821,69002.0,0.0049
01262,2735.0,0.0484,0.0554,1.41,49341.0,0.0102
01264,2936.0,0.0425,0.069,0.373,8831.0,0.0069
01266,2608.0,0.0361,0.0474,0.49,19432.0,0.0018
01267,1958.0,0.0409,0.047,0.298,12691.0,0.0085
01270,1529.0,0.0291,0.0375,1.41,17362.0,0.012
01301,1338.0,0.0289,0.0329,0.509,16341.0,0.0112
01330,1651.0,0.0284,0.0391,0.557,18516.0,0.0126
01331,1451.0,0.0361,0.045,0.53,14756.0,0.0139
01337,1317.0,0.0295,0.0369,0.514,11211.0,0.0064
01338,1524.0,0.0274,0.0516,0.172,7976.0,0.0056
01339,1519.0,0.0257,0.0302,0.269,7158.0,0.0133
01340,1470.0,0.0257,0.0328,0.65,22353.0,0.0062
01341,1712.0,0.0287,0.0423,0.7,15621.0,0.0136
01342,1510.0,0.0353,0.0456,0.828,17283.0,0.0041
